# Simulator: Gillespie's Stochastic Algorithm
# Number of data points: 100
# Stop time: 15000.0
# Number of independent replications: 10
# Start time: 0.0
# Model Parameters
# Run time = 0.3619999885559082
# Time, "A@C1", "A@C2", "A@C3", "A@C4", "B@C1", "B@C2", "B@C3", "B@C4", "D@C1", "D@C2", "D@C3", "D@C4"
6969.696969696969, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.400000000000002, 23.900000000000002, 24.200000000000003, 23.5
7121.21212121212, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 26.8, 26.8, 23.6, 22.8
7272.727272727272, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.200000000000003, 25.700000000000003, 24.700000000000003, 24.400000000000002
7424.242424242424, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.8, 26.3, 24.1, 24.8
7575.757575757575, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 28.200000000000003, 24.400000000000002, 22.400000000000002, 25.0
7727.272727272726, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 26.400000000000002, 24.5, 24.1
7878.787878787878, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.3, 24.900000000000002, 25.400000000000002, 24.400000000000002
8030.30303030303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.400000000000002, 24.1, 25.400000000000002, 27.1
8181.818181818181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.6, 25.700000000000003, 24.200000000000003, 25.5
8333.333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.700000000000003, 24.400000000000002, 22.3, 27.6
8484.848484848484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 24.700000000000003, 26.400000000000002, 22.8, 26.1
8636.363636363636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 24.900000000000002, 25.200000000000003, 24.900000000000002
8787.878787878788, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 25.700000000000003, 25.6, 23.700000000000003
8939.393939393938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.1, 24.200000000000003, 26.400000000000002, 24.3
9090.90909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 23.5, 25.0, 24.8, 26.700000000000003
